"BABYFOOD,FRUIT,APRICOT W/TAPIOCA,JR",0.63,63.0
"BABYFOOD,FRUIT,APRICOT W/TAPIOCA,STR",0.60,60.0
"BABYFOOD,FRUIT,BANANAS W/TAPIOCA,JR",0.67,67.0
"BABYFOOD,FRUIT,BANANAS W/TAPIOCA,STR",0.57,57.0
"BABYFOOD,FRUIT,BANANAS&PNAPPL W/TAPIOCA,JR",0.68,68.0
"BABYFOOD,FRUIT,BANANAS&PNAPPL W/TAPIOCA,STR",0.65,65.0
"BABYFOOD,FRUIT,GUAVA W/TAPIOCA,STR",0.67,67.0
"BABYFOOD,FRUIT,GUAVA&PAPAYA W/TAPIOCA,STR",0.63,63.0
"BABYFOOD,FRUIT,MANGO W/TAPIOCA,STR",0.80,80.0
"BABYFOOD,FRUIT,PAPAYA&APPLSAUC W/TAPIOCA,STR",0.70,70.0
"BABYFOOD,FRUIT,PEACHES W/SUGAR,JR",0.71,71.0
"BABYFOOD,FRUIT,PEACHES W/SUGAR,STR",0.71,71.0
"BABYFOOD,FRUIT,PEARS&PNAPPL,JR",0.44,44.0
"BABYFOOD,FRUIT,PEARS&PNAPPL,STR",0.41,41.0
"BABYFOOD,FRUIT,PEARS,JR",0.43,43.0
"BABYFOOD,FRUIT,PEARS,STR",0.41,41.0
"BABYFOOD,FRUIT,PLUMS W/TAPIOCA,WO/VIT C,JR",0.74,74.0
"BABYFOOD,FRUIT,PLUMS W/TAPIOCA,WO/VIT C,STR",0.71,71.0
"BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,JR",0.70,70.0
"BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,STR",0.70,70.0
"BABYFOOD,GRN BNS,DICES,TODD",0.29,29.0
"BABYFOOD,JUC,APPL GRAPE,W/CA",0.52,52.0
"BABYFOOD,JUC,APPL&CHY",0.41,41.0
"BABYFOOD,JUC,APPL&GRAPE",0.46,46.0
"BABYFOOD,JUC,APPL&PEACH",0.42,42.0
"BABYFOOD,JUC,APPL&PLUM",0.49,49.0
"BABYFOOD,JUC,APPL&PRUNE",0.73,73.0
"BABYFOOD,JUC,FRUIT PUNCH,W/CA",0.52,52.0
"BABYFOOD,JUC,MXD FRUIT",0.47,47.0
"BABYFOOD,JUC,ORANGE&APPL",0.43,43.0
"BABYFOOD,JUC,ORANGE&APPL&BANANA",0.47,47.0
"BABYFOOD,JUC,ORANGE&APRICOT",0.46,46.0
